row_key,user_1,user_2,totalFrames,matchFrames,totalcM,matchcM,matching_segments,data_share_time,gc_time,execution_time,user_1_Snips,user_2_Snips,common_snips,padded_snips
0
1,1,70,3348,2,3530,10,2,16.073,98.968,115.041,638500,702541,148350,64258
2,1,71,3364,3,3541,15,3,14.97,99.069,114.039,638500,680545,152889,63815
3,1,72,3372,2,3545,6,1,15.716,98.942,114.65799999999999,638500,702443,154477,64531
4,1,73,3381,3,3550,15,3,15.118,100.886,116.00399999999999,638500,707270,156641,66975
5,1,74,3379,5,3549,25,5,15.167,101.18,116.34700000000001,638500,707270,156382,67234
6,2,70,3348,2,3526,10,2,15.088,98.369,113.457,638483,702541,148600,64520
7,2,71,3366,1,3543,5,1,14.676,98.649,113.325,638483,680545,152897,64319
8,2,72,3373,2,3546,10,2,14.807,99.578,114.385,638483,702443,154493,64899
9,2,73,3380,1,3550,5,1,14.928,101.257,116.185,638483,707270,156699,66661
10,2,74,3379,2,3549,10,2,15.504,101.042,116.546,638483,707270,156419,66685
11,3,70,3336,1,3525,5,1,15.015,97.251,112.266,638483,702541,145559,60393
12,3,71,3350,2,3531,10,2,15.42,98.817,114.237,638483,680545,149882,62470
13,3,72,3359,1,3542,5,1,15.239,99.823,115.062,638483,702443,151526,63898
14,3,73,3364,4,3544,20,4,15.048,98.893,113.941,638483,707270,153476,64508
15,3,74,3364,5,3544,13,2,15.494,98.764,114.258,638483,707270,153400,64328
16,4,70,3348,5,3530,17,3,14.766,98.154,112.92,638488,702541,148422,64954
17,4,71,3365,3,3543,15,3,14.789,98.664,113.453,638488,680545,152963,63997
18,4,72,3372,2,3546,10,2,15.013,98.748,113.76100000000001,638488,702443,154552,64712
19,4,73,3379,3,3550,15,3,15.285,100.971,116.256,638488,707270,156764,66852
20,4,74,3378,4,3549,16,3,15.095,101.052,116.147,638488,707270,156483,66877
21,5,70,3348,1,3530,5,1,15.628,98.32,113.948,638488,702541,148491,64629
22,5,71,3366,5,3543,21,4,14.9,99.306,114.206,638488,680545,152998,64218
23,5,72,3372,1,3546,5,1,15.702,98.978,114.67999999999999,638488,702443,154606,64530
24,5,73,3381,0,3550,0,0,14.873,101.457,116.33,638488,707270,156791,66441
