row_key,user_1,user_2,totalFrames,matchFrames,totalcM,matchcM,matching_segments,data_share_time,gc_time,execution_time,user_1_Snips,user_2_Snips,common_snips,padded_snips
0
1,21,22,3483,1,3574,5,1,16.865,389.821,406.68600000000004,966997,966977,915045,401819
2,21,23,3483,3459,3574,3569,25,13.231,387.193,400.424,966997,966977,915830,401034
3,21,24,3483,3,3574,7,1,12.855,388.72,401.57500000000005,966997,966977,915790,402098
4,22,23,3483,3450,3574,3569,26,11.415,387.854,399.269,966977,966977,915389,401475
5,22,24,3483,2277,3574,2483,50,12.841,388.756,401.597,966977,966977,915503,402385
6,23,24,3483,1325,3574,1516,47,12.619,382.854,395.47299999999996,966977,966977,916086,400778
7,51,52,3491,3484,3579,3578,23,11.274,265.205,276.479,664448,664448,607146,266582
8,51,53,3491,3472,3579,3576,25,11.577,209.508,221.085,664448,650429,467434,205334
9,51,54,3491,2499,3579,2675,44,10.111,262.615,272.726,664448,664448,606919,265785
10,52,53,3491,1,3579,5,1,11.601,210.362,221.963,664448,650429,474959,209841
11,52,54,3491,3480,3579,3575,23,9.93,263.682,273.612,664448,664448,617280,268480
12,53,54,3491,3480,3579,3578,23,11.057,212.148,223.20499999999998,650429,664448,474789,209499
